observation_date,CMDEBT
2015-10-01,14079.104
2016-01-01,14177.118
2016-04-01,14287.788
2016-07-01,14409.784
2016-10-01,14486.795
2017-01-01,14624.956
2017-04-01,14761.056
2017-07-01,14864.150
2017-10-01,15034.275
2018-01-01,15161.119
2018-04-01,15269.245
2018-07-01,15395.435
2018-10-01,15496.566
2019-01-01,15600.970
2019-04-01,15774.385
2019-07-01,15925.573
2019-10-01,16074.146
2020-01-01,16207.882
2020-04-01,16177.835
2020-07-01,16394.121
2020-10-01,16620.113
2021-01-01,16865.937
2021-04-01,17556.091
2021-07-01,17872.078
2021-10-01,18213.910
2022-01-01,18582.012
2022-04-01,18928.951
2022-07-01,19216.175
2022-10-01,19375.205
2023-01-01,19490.731
2023-04-01,19639.724
2023-07-01,19788.031
2023-10-01,19896.487
2024-01-01,20038.528
2024-04-01,20177.548
2024-07-01,20319.482
2024-10-01,20195.458
